foto,arquivo,sala,caixas,controles,periodos,classificacao,tipoDocumento,confiancaMedia,textoResumo
"IMG_8241","IMG_8241.jpg","Sala Instituto de Identificacao","3; 4; 2","","M A IO DE 2022; 2022; JULHD DE 2022","","","0.907","YITEP | ASSESSORIA JURÍDICA | 7603 | Referéncia | Local | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | Data | NSTTUTO/sETOR | NSTITUTO DE IDENTIFICAÇÃO | Contsm | CLASSPICAÇÃO | IDENTIFICAÇÃO CVL | DOCUMENTO | AWAREICA | CAIXA N° | 3 | N° | COM NUMERAÇÃO | ANO/ PERÍCDO | X | pelycart | ASSESSORIA JURÍDICA | Referência | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTTUTO DE IDENTFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO DE IDENTIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO | DE PERICIA DO RIO GRANDE DO | INSTITUTOSETOR | SUBCOORDENADORIA DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO DE IDENTIFICAÇÃO | INSTITUTOISETOR | SUBCOORDENADORIA DE | INSTITUTO DE IDENTPCAÇÃO | MCSSORORN | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO/SETOR | MOSSORO.RN | INSTITUTO/SETOR | NORTE | JBCOORDENADORIA DE | INSTTUTO | CLASSIFICAÇÃO | IDENTIICAÇÃO GVIL | INSTITUTO DE IDENTPICAÇÃO | INSTTUTODE IDENTFICAÇAO | SUBCOORDENADORIA DE | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVL | CLASSIFICAÇÃO | IDENTFICAÇÃO CML | CLASSIFICAÇÃO | IDENTFICAÇÃo CIVIL | SETOR | LOCALIZAÇÃO | PRONTUÁRO CVIL-HBRDO | DENTIFICAÇÃO CVIL | TIPO DE | PRONTUARIO CIVIL-HiBRIDO | CLASSIFICAÇÃO | DOCUMENTO | PRONTUÁRIO CVIL | CAIXA N° | TIPO DE | PRONTUARIO CIVIL-HORIDO | 01.01.01.03 | CAIXA N° | TIPO DE | RONTUARIO CIVIL-HiBRIDO | CAIXA N° | CAIXA N° | aOCUMENTO"
"IMG_8242","IMG_8242.jpg","Sala Instituto de Identificacao","1; 99; 3; 5; 1928; 2; 6; 1993","","2022; M A IO DE 2022; 1928; 1993","Protocolo","Livros","0.886","ANOIPERÍODO | O9 DE JANEIRO A | DE MARIÇO DE 2622 | INEORMADA | MAÇAO DE REGISTRO GERAL | ANO/PERIODO | DE SETEMBRO DE | JEIRAS E SEO | IDASVAS | 2022 | OBSERVAÇÃO: | OBSERVAÇÃO: ALOUNS PRONTUARIOS SEM DATA | 1 DE ABRIL Á 31 DE | ANOIPERIODO | MAIO DE 2022 | OBSERVAÇÃO: | Arquivo | Aalat | Arguivo | Arguivo | BAlyeart | Arquivo | Arguicu | Prático | Prático | Práico | Prático | Pritico | ASSESSORIA JERIDNCA | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO DE IDENTFICAÇÃO. | PERICIA DO RIO GRANDE DO NORTE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO DE IDENTFICAÇÃO | NSTTUTO/SETOR | INSTITUTO DE IDENTFICAÇÃO | INSTITUTO | INSTITUTO DE IDENTFICAÇÃO | INSTITUTO/SETOR | NSTTUTOSETOR INSTITUTO DE DENTWICAÇÃO | INSTTUTO DE IDENTFICAÇÃO | NSTITUTOSETOR | SUBCOORDENADORIA DE | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVL | SETOR | ARQUIVD CIVIL | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVIE | NSTITUTOSETOR | SUBCOORDENADORIA DE | IDENTFICAÇÃD CIVIL | PO DE | FICHA DE PRONTUÁRIO DACTELAR | TIPODE | PRONTUARO | DCORMENTo | FICHA DE LOCALZAÇÃO DE | CLASSIFICAÇÃO | DOCUMENTO | DOCUMENTO | TIPO DE | FICHA DE PRONTUARIO DACTSLAR | CAIXA N° | CAIXAN° | ALFABETICA | CLASSFICAÇÃD | IDENTPICAÇÃO CVIL | TPO DE"
"IMG_8243","IMG_8243.jpg","A classificar","2014; 93; 91","000.000; 049.999; 599.999; 600.000; 649.999; 350.000; 399.999; 900.000","2022; 1982; 2014* A ""; 2014; 2015; 2012; 2017""C""; 2017“B""","","","0.787","2022 | 1982 | E | 15 | 14 | Arquivo | 137 | Fácil | CONTROLE DE NÓMERAÇÃO | DEIDENTIDADE | 22 | 23 | 20 | 24 | 951.00 | 3.000.000 | arquiv | 3.049.999 | ertert | HOvart | 30 | NGE.DONOINTE | 61mn TICMCOCENTFICO 1E | MSTT/TO TECNCO-CENTFCO DE | CAEAN | PEte | stttmS6.OpnecAcIO | PERCADO RIO GRANIE DO NORTE | NSTITUTO TECNCO-CIENTiICO DE | 86 | 87 | CAXAN | nnngNe | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | 88 | CLASSFCA(kG | nonmro DcENTEceÇAo | thUAnAnsm | 1AW005AS90 | NE | CADXAN | Teoeons | GanRCAckoC% | aNmmyTortET0m aSTmUTO bEpEmeEAÇkO | MATV0HYGR | 1.5501003.599.999 | LSTA IE GONTROLE | CLASICAÇAD | INaTTITO DEIDENmPcAÇAD | 2014*A"" | 89 | LAStiFCAÇkD | eNTincACAo Gn. | eoEeNTto | CENTHICAÇAO CIVIL | 2A3 | CADXAN | eo ENTo | LIRTA DE CONTROLA | LIGTA DEL CONTROLE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | 2614*8 | 3.600.000/3.649.999 | 84 | MUPA VIA DAGSNTORCE | PERICIA DO RIO GRANDE DO NORTE | PRIMEIRA VIA DA IDENTICADE | INSTITUTO TÉCNICO-CIENTIICO DE | CAIXAN | CAIXAN | NBTTyToSTOR | INETITVTO DE IDENTECAÇAG | NSTTUIOMETOR | INSTTuTO DE cENmrcAÇAD | PERICIA DO RIO GRANDE DO NORTE | 2014 | 3.350.000/3.399.999"
"IMG_8244","IMG_8244.jpg","A classificar","86; 99; 20; 81; 87; 100; 80; 83","450.000; 499.999; 549.999; 125.000; 125.999; 200.000; 249.999; 100.000","2013; 2014"" A ""; 2010"" A; 2009; 2011; 20148""; 2019; 2020","","","0.741","E | 59 | 202-0Z02 | C20Z | DOcoUG | 2uE | 40- | Arquivo | nolycart | J993 | Arquivo | Arquivo | Data | Fica erquvads a | eFial | NovaOnda' Polibras | Arquivo | Novalnda olre | epu | Daiat | Fa arqurade ail | NovaOnda' Polbras | Comiem | ote: | rpawle | 3明 | 丽 | J25.126 | ArquivO | Raferéncia | INSTITUTO TÉCNICO-CIENTÍFICO DE | NRICA DO MIO GRANDE DONORTE | HSTTTUTO/SETOR | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO DEIDENTPICAÇAO | NSTm/tascTOa | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICODE | INSTTUTO TÉCNICO-CIENTIrcODE | PERCA DO RO GRANCE N RORE | NETTVTO rECAcocENrcoE | CLADSIFICAÇÃO | INSTITUTO/ETOR | CLASSVICAÇÃO | wanuroCEDENTEcACÃO | PERICIA DO RIO GRANDE DO NORTE | NSTITVTO TECNCOCENTICOE | PERCHA DO RD GRANEP2 MWE | n | IDENTIPICAÇÃO CIVIL | CLASSIPICAÇÃO | ANSITUTO DE IDENTECAÇÃO | IDENTFICAÇAO ONIL | INaTTTosrt0e | NInEVTO DEIDENTICAÇAC | aavroseron asnmrpee eencecke | PERICIA CO RIO GRANDE DO NORT | MAFCAgA | mut-stoe | BODNENTo | oUnSTEE onoge | LAUPNACAS | VNneerssE | LJSTA DE CONTROLE | ADENTFICAÇAO CIVIL | CLASSFICAÇÃO | DENTvICApAo cwa | CLAssFICAÇAO | DEwTrcAÇÃo-cs | AMene aeRrcpL | oows | SNENTICE2S | rotiwo | recle as | DOoDENTO | LISTA DE CONTRDLE | CAIXA N° | DeRENTo | LSTA OE CONTROLE | o euto"
"IMG_8245","IMG_8245.jpg","A classificar","38; 105; 82; 40; 41; 37; 67; 1992","213.214; 234.093; 461.000; 520.999; 531.000; 540.999; 530.999; 371.000","1978; 20109; 1993; 1994; 1964; 1992; 1995"" A ""; 2003","","","0.861","212233 | 213.214 | Ge7car | B6 | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PuIge MERPORCOTrCÇAO | CA D0 RIO GRANCE DO NORTE | FCAÇiO | UGTA DE OONTROLE | RAWADA IDENTOADE | CAIXAN' | 38 | AIRAN | 105 | AINAN | 82 | CADCAN | 40 | N | 31.0/234.093 | 3.250 000/3.299 09 | 39 | 1.461.000/1.520.999 | 1978 | 20109 | Ne | e | 1.531.000/1.540.999 | ANOIPERODO | 1993 | 1521.000/1.530.999 | 1994 | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | eatrart | Al | 1964 | MEIVOMTOR NSTITUTO DE IDENTICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | NSTITUTO TÉCNICO-CIENTIFICO DE | CLASSICAÇÃO | lDENTncAÇÃo cVL | INSTITUTO TÉCNICO-CIENTIFICO DE | NmooSETOR NSTITUTO DE DENTHICACAD | BoDENI | USTA DE CONTROLE | PERICIA DO RIO GRANDE DO NORTE | INSTTUTOrBETOR | INSTTUTO OE OENTRCAÇAO | CLASSIFICAÇÃO | DENTFICAÇÃO CVL | PRMERA VADAICENTDADE | 36 | INSTTUTOMETOR INSTTUTO CE DENTPCAÇAO | CAIXAN° | CLASSIFICAÇÃO | DENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | IDENTrICAÇAo cVL | nalycart | USTA DE CONTROLE | DooOENTo | LISTA DE CONTROLE | LUSTA DE GONTRIOLE | palycart | PRMERA WIA DA IDENTOADE | CAIXAN° | 41 | No | PRIMEIRA VA DA IDENTDADE | PRIHMCIRA VA DA IDENTIDADE | CAIXAN° | 37 | CAIXA N° | 67 | 1.371.000/1.399.999 | Ne | 1.541.000/1.599.999 | ANDIPERIODO"
"IMG_8246","IMG_8246.jpg","A classificar","","125.126; 150.000; 199.999","","","","0.875","AN ARO | 125.126 | CONTROLEDENLMERAÇÃO | WERAÇÃO | DEIDENTDADE | LOE | 3.150.000 | 000 | 3.199.999 | 999"
"IMG_8247","IMG_8247.jpg","Sala Instituto de Identificacao","41; 1992; 78; 2008","371.000; 399.999; 400.000; 460.999; 599.999; 050.000; 099.999; 200.000","1992; 1995° A ""; 2008","","","0.942","N | 37 | CAIXA | CAIXAN° | 1.371.000/1.399.999 | 41 | 1992 | NO | ANO/PERIODO | 2.5 | N | 1.400.000/1.460.999 | 0/1.599.999 | 1992 | ANO/PE | 1995°A"" | ANO/PERIODO | 00 | 0.000 | 2P | 42oo. | 49.999 | Referência | INSTITUTO TÉCNICO-C | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERÍCIA DO RIO GRAN | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO DEI | INSTITUTO/SETOR | INSTITUTO DE IDENTIFICAÇÃO | INSTITUTO/SETOR | IDENTIFICAÇÃO | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | LISTA DE CONTI | TIPO DE | LISTA DE CONTROLE | TIPO DE | PRIMEIRA VIA D | DOCUMENTO | DOCUMENTO | 1 | PRIMEIRA VIA DA IDENTIDADE | CAIXA N° | 78 | CAIXAN° | No | NO | 3.050.000/3.099.999 | 4.200.000/4.24 | 2008 | ANOIPERÍODO | ANO / PERÍODO | VACAO | OBSERVAÇAO | Gouvo"
"IMG_8248","IMG_8248.jpg","Sala Instituto de Identificacao","1993; 41","461.000; 520.999; 531.000; 540.999; 521.000; 530.999; 541.000; 599.999","1993; 1994; 1995“ A ”; 2022","","","0.855","CO-CIENI | LISTADE CONTROLE | GRANDE DO NORTE | TIPODE | NO | DOCUMENTO | PRIMERAVIA DAIDENTIDADE | 40 | TTUTO DE IDENTFICAÇÃO | CAIXAN° | 1.461.000/1.520.999 | INS | CENTPICAÇÃO CVL | 1993 | PER | USTADECONTROLE | NO | ANOIPERIODO | 30 | PRMERAVIADA IDENTIDADE | NSTITUTos | 39 | 1.531.000/1.540.999 | AXAN | 1994 | OBSERVAÇÃO: | ANO IPERIODO | CLASSIFICA | INSTITUTO TÉCNICO-CIENTÍFICO DE | NO | OBSERVAÇÃO: | PERÍCIA DO RIO GRANDE DO NORTE | TIPO DE | 1.521.000/1.530.999 | INSTTUTO DE IDENTIFICACÇAO | 1994 | INSTITUTO/SETOR | DOCUMENTC | NOIVEc0O | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVL | CAIXA | NALG | polycart | LISTA DE CONTRIOLE | DOCUMENTO | TIPO DE | PRIMEIRA VIA DA IDENTIDADE | 41 | CAIXA N° | 16/waqee | 1.37 | palycart | aonid | sOn, rep | twALo7 | No | ANO | 1.541.000/1.599.999 | 1995“A” | ANO / PERIODO | CBSERVACAO | 102 | N | 2022 | C | sswneety | 0.000/4.299.999 | GMERAAGAS | CONTROLEDE NÓMERAÇÃO | COMTROLEDE NOMERACÃO | DEIDENTIDADE | 000 | DEIDENTIDADE | 3.500.000 | CONTROLE DE NÚMERAÇÃO | O/PER0D0 | 3.300.000 | 3ovolNaala0 | 666"
"IMG_8249","IMG_8249.jpg","A classificar","","217.218; 221.222; 222.223; 220.221; 461.000; 520.999; 531.000; 371.000","1992; 1995* A ""","","","0.772","217.218 | 216217 | 2/4215 | 212213213279 | 224225 | 1757 | 221.222 | 222.223 | NE | 220.221 | PECA O IC GR4NCE DO MCRE | CACKANP | 38 | CLEAR | 40 | 39 | Su | NP | 1.461.000/1.520.999 | 电531.000/1540.939 | 53电999 | 13 | 1393 | 6.227 | UTO TECNOO-CENmiFCO CE | E | TO TECNCD-CENTFICD CIE | PERTCA DO SIO GRANCE CO NORTE | galycart | uart | CADXANP | 36 | 2 | CADXANP | 41 | Ne | Nr | 1.371.000/1.399.999 | 1.541.000/1.599.999 | CADXA NP | 1992 | 1995*A"" | dNo | 1.400.000/1.4 | AcACG | .000 | LEDEinEERAc | 3.500.000 | DLEGNED | 999 | REDEN | 3.450.000 | 3.300.000 | 50.000 | 3.549.999 | 3.499.999 | 3.349.999 | 99.999 | Arouivo | Alaptass | CONTROLE LE NOMERACAO | DE IDENTDADE"
"IMG_8250","IMG_8250.jpg","Sala Instituto de Identificacao","2022; 2018","250.000; 299.999; 400.000; 449.999; 950.000; 999.999","2030; 2022; 2018","","","0.911","9 | 399P | 1531.000/1.5 | 1530.99 | C25O. | 2030 | INSTITUTO TÉCNICO-CIENTÍFICC | PERÍCIA DO RIO GRANDE DO NC | INSTITUTO DE IDENTIFICAS | INSTITUTO/SETOR | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | LISTA DE CONTROLE | TIPO DE | PRIMEIRA VIA DAIDENTID | DOCUMENTO | 102 | CAIXA N° | NO | 4.250.000/4.299.999 | 2022 | polyeart | ANO/PERIODO | OBSERVAÇAO: | CONTROLE DENÚMERAÇÃO | DEIDENTIDADE | 3.400.000 | 9g | INSTITUTO TÉCNICO-CIENTÍFICO DE | 3.449.999 | INSTITUTO DE IDENTIFICAÇÃO | NSTITUTO/DETOn | IDENTIFICAÇÃO CIVIL | CLASSIFICAÇÃO | LISTADE CONTROLE | PRIMEIRA VIA DA IDENTIDADE | 96 | CAIXA N° | NO | 3.950.000/3.999.999 | 2018 | ANO/PERIODO | grjuivo | OOSERVAÇAO:"
"IMG_8251","IMG_8251.jpg","Sala Instituto de Identificacao","","182.183; 950.000; 999.999","2007; 2006""C""; 2006","","","0.842","50 | 51 | catse | 53 | 48 | 1S | a | IN | PE | INSTTUT | CLASSIF | TIPODE | 2192 | CAIX | 18J.182 | 182.183 | 4 | 90 | 59 | ANO | O8SERVAC | Referencia | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO/SETOR | PERICIA DO RIO GRANDE DO NORTE | CLASSIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO/SETOR | INSTITUTO DE IDENTIFICAÇÃO | CLASSIFICAÇÃO | CAIXA N° | IDENTIFICAÇÃO CIVIL | LISTA DE CONTROLE | CAIXA N° | INSTITUTO DE IDENTIFICAÇÃO | PRIMEIRA VIA DA IDENTIDADE | IDENTIFICAÇÃO CIVIL | LISTA DE CONTROLE | PRIMEIRA VIA DAIDENTIDADE | OY5WORINIO 3O OLALLSN | SOYGINBOI YO VIA YeEN | 2.950.000/2.999.999 | 666606'乙/000006乙 | 2007 | ooopuad/ONv | SL | 666670'8/000000'8 | 0 | ORSERVAÇÃO | No | TAD OYOYOLNBOI | TOHINOO aa VIs | OBSERVAÇÃO: | ANO/ PERIODO | No | N | 2006""C"" | OGOM34 1ONY | Arquivo | 2006 | NVXITO | Onnbie | 2007 | 量 | Novalnda' | 8"
"IMG_8252","IMG_8252.jpg","Sala Instituto de Identificacao","","950.000; 999.999","2018","","","0.933","eO | LE DENUMERAÇAO | EIDENTIDADE | 00.000 | 49.999 | NSTITUTO/SETOR | LASSIFICAÇÃO | INSTITUTO DE IDENTIFICAÇÃO | IDENTIFICAÇÃO CIVIL | PO DE | OCUMENTO | LISTA DE CONTROLE | AIXAN° | PRIMEIRA VIA DA IDENTIOADE | 96 | N° | 3.950.000/3.999.999 | PERIODO | 2018"
"IMG_8254","IMG_8254.jpg","A classificar","2005","750.000","2005","","","0.825","12 | NSTITUTO TÉCNco-cEMTFcoDE | PERICIA DO RIO GRANCEDONORTE | CLASSIFCAGiO | MPO CE | 72 | CAIXAN | Bgs | 2.750.000/2.793983 | 2005"
"IMG_8257","IMG_8257.jpg","Sala Instituto de Identificacao","2005","750.000; 799.999","2005","","","0.97","12 | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO DE IDENTIFICACAO | INSTITUTO/SETOR | IDENTIFICACÃO CIVIL | CLASSIFICAÇÃO | LISTA DE CONTROLE | TIPO DE | DOCUMENTO | PRIMEIRA | 72 | CAIXA N° | NO | 2.750.000/2.799.999 | 2005 | ANO/PERIODO | OBSERVACAG"
"IMG_8258","IMG_8258.jpg","Sala Instituto de Identificacao","73","800.000; 849.999","2006 "" A","","","0.915","ReAVaELBiaa | EPFiE | Ref: | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO/SETOR | INSTITUTO DE IDENTIFICAÇÃO | CLASSIFICAÇÃO | IDENTIFICAÇÃO CIVIL | TIPO DE | LISTA DE CONTROLE | DOCUMENTO | PRIMEIRA VIA DA IDENTIDADE | CAIXA N° | 73 | No | 2.800.000/2.849.999 | 2006 ""A | ANO/ PERIODO"
"IMG_8259","IMG_8259.jpg","Sala Instituto de Identificacao","19; 1970","124.000; 124.999","1970","","","0.959","Referência | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERÍCIA DO RIO GRANDE DO NORTE | INSTITUTO/SETOR | CLASSIFICAÇÃO | INSTITUTO DE IDENTIFICAÇÃO | TIPO DE | IDENTIFICAÇÃO CIVIL | DOCUMENTO | CAIXA N° | PRONTUÁRIO DE IDENTIFICAÇÃO | CIVIL | 19 | 124.000/124.999 | NO | ANO I PERÍODO | 1970 | Balycart"
"IMG_8260","IMG_8260.jpg","A classificar","","700.000; 749.999","","","","0.953","Aiaplast | aixe | Arauivo | Referêr | CONTROLE DE NÚMERAÇÃO | DEIDENTIDADE | INS | 3.700.000 | 3.749.999"
"IMG_8261","IMG_8261.jpg","A classificar","6; 2023; 18; 2010; 13; 2025","","J A N/2024-; DEZ/2024; B/2019; 201 A -2019; 2023; 2010; 2025","","","0.881","aNSTITUTO TÉCNICO-CIENTIPICO DE PERICIA DO | oanVTO GE DENTCAÇAO | oricios | CLAswcAÇAD | IPD DE DOCUMENTD | 1 | CAIXAN° | N° DE CONTROLE | JAN/2024- | ANO/PEAIO0O | DEZ/2024 | cesemvacko | CP2.P18 | 6 | 89 | B/2019 | 201a -2019 | INSTITUTO TÉCNICO-CIENTÍFICO DE PERÍCIA DO | RIO GRANDE DO NORTE | NSTITVTO DE CENTICAÇÃO | oricos | CLASSICAÇAO | TPO DE DOCuWENTO | CAIXAN° | N° DE CONTROLE | 2023 | ANO/PERIODO | DesEaVaÇÃo | 18 | 2010 | CP2.P28 | 33 | 55 | 9 | 材 | AROUIVOG | ARQuIVO | 44 | CALRAN | 72 | RIO GRANDE DO NORTE | NSTTUTOREGIONALSETOR | CLASSIPCAÇÃO | NSTITUTO DE GENTRICAÇÃO | TIPO DE DOCMENTO | BICS | CAIXA N° | BICS-PRESIDIO JOAO CHAVES | 13 | N° DE CONTQOLE | ANOIPERIODO | 2025 | OBSERVAÇÃD | NAO FORAM DIGITALZADOS"
"IMG_8262","IMG_8262.jpg","A classificar","","","2018/2019; 2024","","","0.775","5 | ArquivO | 2018/2019 | 83 | CAzuF | Arquivo | NovaOnda | -ácil | NavaOnda' | Contem | PROIEIOHESbcs | 26 | CALLAN | BCS | 2024 | E4.P2 | 64 | CAXAN | F | 98"
"IMG_8263","IMG_8263.jpg","A classificar","","","","","","0.635","ROEDOEAPRASNCxÃOECUA | RQ00 | Data | mgoMaCRAEriOADO | ROGRE0MRE | Contém: | barais | 9/27ONEt | ARRCECacM | CAXANF | PDECONTIROLE | 16 | M5"
"IMG_8264","IMG_8264.jpg","Sala Instituto de Identificacao","2; 3; 4; 5; 6; 1966; 7; 8","102.103; 105.106; 100.000; 101.999; 102.000; 103.999; 104.000; 104.999","1966; 1967; 1968; 1970; 1969","","","0.861","91.100300 | 9233 | 93.94 | 96.97 | Referência | Referêncía | Refarénola | Referinclan | 0 | Referéncla | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | anTUTOSETOR NSTUTO DE ICENTPICAÇAO | INSTITUTO TÉCNICO-CIENTIFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | CLASSIFICAÇÃO | DENmpCAÇAD cIvis | INSTITUTO/SETOR | NSTTUTO DEIDENTFICAÇAO | CLASSIPICAÇÃO | NSTITUTO/SETOA | NSTITUTO DEIDENTIFICAÇÃO | INSTITUTOsETOR | NSTTUTO DE IGENTnCAÇAO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTIFICO DE | IDENTIPICAÇÃO CIVL | MENTO | DOCDENTo | CLASSIFICAÇÃO | IDENTFICAÇÃo CIVL | CLASSIFICAÇÃO | CENTFICAÇÃO CVIL | INSITUTOsETOR | PERICIA DO RIO GRANDE DO NORTE | CAIXA N° | PRONTUARIO DE IDENTIPICAÇÃO | Do DENTo | DooDENTo | CLASsFIGAÇAO | INSTITUTO DE IDENTPICAÇAD | PRONTUARNO DE IDENTIFICAÇÃO | PRONTUARIG DE IDENTPIGAÇAO | NSTTUTOISETOR | wSTm/To ce pENTPCAÇAD | 1 | CAIXA N° | becsioTo | DENTIFICAÇÃO CNL | 2 | CLASSPICAÇÃD | CAIXAN° | CAIXAN° | CENTPIGAÇkG CVL | N° | 3 | 4 | P | DOODENTo | 90.200/90.999 | No | CAIXA N° | 91.000/91.999 | N° | N° | 5 | CAIXA N° | 6 | ANDIPERICDO | 1966 | 92.000/92.999 | 93.000/93.999 | OnsERVACAO: Ag | ANOIPERIOOO | 1966 | 94.000/95.999"
"IMG_8265","IMG_8265.jpg","Sala Instituto de Identificacao","23; 19; 20; 21; 22; 24; 25; 26","124.125; 129.130; 124.000; 124.999; 129.000; 129.999; 125.000; 125.999","1970; 1971","","","0.812","Departamento | Arqulvar até: | Data: | Local: | NCBAU | Juea | abanr! | Raiyeart | 124.125 | J25.126 | 129.130 | Referéncia | Raferência | teferència | Referência | 13Q | INSTITUTO TÉCNICO-CIENTIFICO DE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | PERICIA DO RIO GRANDE DO NORTE | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | NSTTUTOMETOR INSTITUTO DE DENTAICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | INSTITUTO TÉCNICO-CIENTÍFICO DE | INSTITUTO/SETOR | INSTTUTO DE IDENTIFICAÇÃO | INSTITUTO TÉCNICO-CIENTÍFICO DE | NSTUTOSETOR | w$TITUTO DE IDENTIFICAÇÃO | STITUTOsETOR | INSTITUTO CE DENTFIÇAÇÃO | PERICIA DO RIO GRANDE DO NORTE | CLASSIFICAÇÃO | PERICIA DO RIO GRANDE DO NORTE | CLASSIFICAÇÃO | IDENTIICAÇÃO CVIL | CLASSIFICAÇÃO | IDENTPCAÇÃo CVL | CLASSFICAÇÃO | INSTTUT0rnETOR | NSTITUTO DE DENTIFICAÇÃO | IDENTIFICAÇÃo CIVL | IDENTIFICAÇÃO CIVL | NSTITUTOSETOR | INSTITUTODE IDENTIPICAÇÃO | CLASSIFICAÇÃO | DENTIFICAÇÃO CIVIL | DCODRENTo | TIPO DE | PRONTUAIO DE IDENTPICAÇÃO | TIPODE | PRONTUÁRO DE IDENTIFICAÇÃO | PRONTUARID DE IDENTPICAÇÃO | CLASSIFICAÇÃO | DOCUMENTO | IDENTFICAÇAo CIVL | DOCUMENTO | CAIXA N° | CVL | CAIXAN° | OOUETo | CAIXA N° | 23 | TIPO DE | DOCUMENTO | PRONTLARIO DE IDENTFICAÇAO | 19 | 20 | CAIXAN° | 21 | CAIXA N° | 22 | CAIXAN° | N° | 24 | NO | N° | N°"
